Date,Day,High T,Low T,Precip,Snow,Snow Depth
11/7/10,7,73,44,0.01,0,0
11/8/10,8,70,37,0,0,0
11/9/10,9,54,33,0.28,0.3,0.01
11/10/10,10,42,23,0.01,0.01,0
11/11/10,11,33,29,0.17,1.4,0.01
11/12/10,12,45,19,0.01,0.01,0
11/13/10,13,44,23,0.01,0.01,0
11/14/10,14,43,21,0.01,0.01,0
11/15/10,15,43,27,0.01,0.1,0
11/16/10,16,53,27,0.07,0.01,0
11/17/10,17,44,24,0,0,0
11/18/10,18,66,26,0,0,0
11/19/10,19,61,37,0,0,0
11/20/10,20,45,26,0,0,0
11/21/10,21,51,22,0.01,0.01,0
11/22/10,22,41,25,0.02,0.2,0
11/23/10,23,48,19,0,0,0
11/24/10,24,41,22,0.01,0.01,0
11/25/10,25,40,16,0,0,0
11/26/10,26,49,18,0,0,0
11/27/10,27,55,23,0,0,0
11/28/10,28,47,28,0.01,0.01,0
11/29/10,29,36,22,0.01,0.01,0
11/30/10,30,43,13,0,0,0
12/1/10,1,59,28,0,0,0
12/2/10,2,56,32,0,0,0
12/3/10,3,65,34,0,0,0
12/4/10,4,54,28,0,0,0
12/5/10,5,43,21,0,0,0
12/6/10,6,47,22,0,0,0
12/7/10,7,53,29,0,0,0
12/8/10,8,57,24,0,0,0
12/9/10,9,59,37,0,0,0
12/10/10,10,58,33,0.01,0,0
12/11/10,11,45,23,0.01,0,0
12/12/10,12,53,16,0,0,0
12/13/10,13,66,33,0,0,0
12/14/10,14,63,36,0,0,0
12/15/10,15,58,34,0.02,0,0
12/16/10,16,38,19,0,0,0
12/17/10,17,32,20,0.04,1.1,1
12/18/10,18,37,13,0,0,0
12/19/10,19,55,21,0,0,0
12/20/10,20,59,34,0.01,0,0
12/21/10,21,44,25,0,0,0
12/22/10,22,41,19,0,0,0
12/23/10,23,50,19,0.01,0,0
12/24/10,24,46,25,0,0,0
12/25/10,25,53,20,0,0,0
12/26/10,26,52,22,0,0,0
12/27/10,27,46,24,0,0,0
12/28/10,28,49,23,0,0,0
12/29/10,29,54,27,0,0,0
12/30/10,30,45,13,0.28,6.2,6
12/31/10,31,13,2,0.13,2.2,5
1/1/11,1,25,1,0,0,4
1/2/11,2,47,1,0,0,3
1/3/11,3,36,16,0,0,3
1/4/11,4,44,10,0,0,2
1/5/11,5,49,31,0,0,2
1/6/11,6,54,34,0,0,2
1/7/11,7,50,32,0,0,0.01
1/8/11,8,49,23,0,0,0.01
1/9/11,9,38,21,0.3,3.7,4
1/10/11,10,21,-4,0.24,7.4,8
1/11/11,11,17,0,0,0,7
1/12/11,12,28,-3,0,0,5
1/13/11,13,55,18,0,0,3
1/14/11,14,57,31,0,0,1
1/15/11,15,51,32,0,0,1
1/16/11,16,54,29,0,0,1
1/17/11,17,55,41,0.01,0,0.01
1/18/11,18,51,31,0,0,0.01
1/19/11,19,48,20,0.27,2.9,5
1/20/11,20,38,8,0.01,0.2,3
1/21/11,21,46,24,0,0,2
1/22/11,22,46,32,0.01,0.01,1
1/23/11,23,49,17,0,0,0.01
1/24/11,24,40,28,0,0,0.01
1/25/11,25,43,17,0,0,0.01
1/26/11,26,47,27,0.01,0.01,0.01
1/27/11,27,58,37,0,0,0.01
1/28/11,28,68,33,0,0,0.01
1/29/11,29,61,34,0,0,0.01
1/30/11,30,43,25,0,0,0
1/31/11,31,33,7,0.13,2,2
2/1/11,1,8,-10,0.06,0.9,0
2/2/11,2,10,-17,0.01,0.01,1
2/3/11,3,34,-5,0.03,0.2,2
2/4/11,4,44,18,0.01,0.01,1
2/5/11,5,42,31,0.11,1.4,2
2/6/11,6,32,17,0.41,4.9,5
2/7/11,7,43,6,0,0,4
2/8/11,8,40,3,0.32,4.1,7
2/9/11,9,22,-7,0.01,0.1,7
2/10/11,10,38,3,0,0,6
2/11/11,11,45,10,0,0,5
2/12/11,12,56,27,0,0,4
2/13/11,13,65,41,0,0,1
2/14/11,14,58,26,0,0,1
2/15/11,15,64,36,0,0,0.01
2/16/11,16,66,38,0,0,0
2/17/11,17,56,38,0,0,0
2/18/11,18,54,24,0,0,0
2/19/11,19,56,26,0,0,0
2/20/11,20,53,33,0.01,0,0
2/21/11,21,47,16,0,0,0
2/22/11,22,54,16,0,0,0
2/23/11,23,52,29,0,0,0
2/24/11,24,42,21,0.01,0.01,0
2/25/11,25,35,14,0.09,1.5,1
2/26/11,26,55,14,0.01,0.01,0
2/27/11,27,49,35,0,0,0
2/28/11,28,61,24,0.01,0.01,0
3/1/11,1,62,27,0,0,0
3/2/11,2,63,22,0,0,0
3/3/11,3,60,36,0,0,0
3/4/11,4,53,22,0.01,0.01,0
3/5/11,5,53,22,0,0,0
3/6/11,6,49,37,0,0,0
3/7/11,7,41,20,0.04,0.1,0.01
3/8/11,8,34,19,0.1,0.01,0
3/9/11,9,53,24,0,0,0
3/10/11,10,69,35,0,0,0
3/11/11,11,68,45,0,0,0
3/12/11,12,62,28,0,0,0
3/13/11,13,57,38,0.12,0,0
3/14/11,14,64,27,0,0,0
3/15/11,15,63,34,0,0,0
3/16/11,16,75,40,0,0,0
3/17/11,17,72,43,0,0,0
3/18/11,18,56,31,0.04,0.1,0
3/19/11,19,72,29,0,0,0
3/20/11,20,66,39,0,0,0
3/21/11,21,73,33,0,0,0
3/22/11,22,67,39,0.02,0.01,0
3/23/11,23,59,35,0,0,0
3/24/11,24,56,22,0.01,0,0
3/25/11,25,54,27,0,0,0
3/26/11,26,55,28,0,0,0
3/27/11,27,56,28,0,0,0
3/28/11,28,53,27,0.01,0.01,0
3/29/11,29,51,25,0.1,0.5,0
3/30/11,30,55,34,0,0,0
3/31/11,31,67,42,0,0,0
4/1/11,1,71,52,0,0,0
4/2/11,2,82,38,0,0,0
4/3/11,3,75,31,0.27,0.01,0.01
4/4/11,4,52,21,0.03,0.4,0
4/5/11,5,71,43,0,0,0
4/6/11,6,69,36,0,0,0
4/7/11,7,60,32,0.01,0,0
4/8/11,8,71,35,0,0,0
4/9/11,9,71,36,0,0,0
4/10/11,10,61,32,0.12,0.1,0
4/11/11,11,64,31,0,0,0
4/12/11,12,65,33,0,0,0
4/13/11,13,60,36,0.01,0,0
4/14/11,14,53,32,1.26,3,0.01
4/15/11,15,56,32,0,0,0
4/16/11,16,66,38,0,0,0
4/17/11,17,69,39,0.01,0,0
4/18/11,18,65,40,0,0,0
4/19/11,19,59,37,0.23,0,0
4/20/11,20,54,31,0,0,0
4/21/11,21,70,37,0.2,0,0
4/22/11,22,57,43,0.05,0,0
4/23/11,23,54,30,0.07,0.01,0
4/24/11,24,48,34,0.01,0,0
4/25/11,25,57,36,0.15,0,0
4/26/11,26,55,32,0.01,0.01,0
4/27/11,27,57,31,0.01,0.01,0
4/28/11,28,70,31,0,0,0
4/29/11,29,68,46,0.01,0,0
4/30/11,30,49,30,0.01,0.01,0
5/1/11,1,50,31,0.01,0.01,0
5/2/11,2,50,30,0.01,0.01,0
5/3/11,3,67,32,0,0,0
5/4/11,4,65,39,0,0,0
5/5/11,5,72,30,0,0,0
5/6/11,6,79,46,0,0,0
5/7/11,7,85,46,0,0,0
5/8/11,8,86,51,0,0,0
5/9/11,9,83,55,0,0,0
5/10/11,10,74,45,0,0,0
5/11/11,11,68,33,1.21,0,0
5/12/11,12,48,37,0.41,0,0
5/13/11,13,64,41,0,0,0
5/14/11,14,63,38,0.16,0,0
5/15/11,15,45,34,0.35,0,0
5/16/11,16,62,41,0,0,0
5/17/11,17,59,39,0.04,0,0
5/18/11,18,58,42,0.71,0,0
5/19/11,19,43,38,1.25,0,0
5/20/11,20,61,34,0.52,0,0
5/21/11,21,61,34,0.01,0,0
5/22/11,22,77,50,0,0,0
5/23/11,23,73,48,0.01,0,0
5/24/11,24,62,42,0.5,0,0
5/25/11,25,66,42,0,0,0
5/26/11,26,66,41,0,0,0
5/27/11,27,69,48,0,0,0
5/28/11,28,68,46,0.01,0,0
5/29/11,29,70,52,0,0,0
5/30/11,30,69,50,0.01,0,0
5/31/11,31,77,44,0.01,0,0
6/1/11,1,77,47,0,0,0
6/2/11,2,89,51,0,0,0
6/3/11,3,86,45,0,0,0
6/4/11,4,78,46,0,0,0
6/5/11,5,88,50,0,0,0
6/6/11,6,88,54,0,0,0
6/7/11,7,86,55,0,0,0
6/8/11,8,84,48,0,0,0
6/9/11,9,72,49,0.17,0,0
6/10/11,10,76,44,0,0,0
6/11/11,11,77,46,0.01,0,0
6/12/11,12,83,46,0,0,0
6/13/11,13,83,53,0,0,0
6/14/11,14,82,53,0,0,0
6/15/11,15,88,49,0,0,0
6/16/11,16,88,56,0,0,0
6/17/11,17,85,53,0.01,0,0
6/18/11,18,84,49,0,0,0
6/19/11,19,80,53,0.01,0,0
6/20/11,20,68,47,1.11,0,0
6/21/11,21,76,51,0.01,0,0
6/22/11,22,82,48,0,0,0
6/23/11,23,86,52,0.01,0,0
6/24/11,24,85,53,0.01,0,0
6/25/11,25,87,53,0,0,0
6/26/11,26,92,53,0,0,0
6/27/11,27,89,56,0,0,0
6/28/11,28,95,51,0,0,0
6/29/11,29,94,66,0,0,0
6/30/11,30,89,60,0,0,0
7/1/11,1,86,54,0.03,0,0
7/2/11,2,85,56,0.04,0,0
7/3/11,3,92,52,0.01,0,0
7/4/11,4,98,56,0.03,0,0
7/5/11,5,89,60,0.01,0,0
7/6/11,6,85,61,0.07,0,0
7/7/11,7,85,57,0.63,0,0
7/8/11,8,88,57,0.56,0,0
7/9/11,9,87,61,0.83,0,0
7/10/11,10,82,58,0.17,0,0
7/11/11,11,81,58,0.2,0,0
7/12/11,12,78,55,0.06,0,0
7/13/11,13,82,57,0.13,0,0
7/14/11,14,81,58,0.02,0,0
7/15/11,15,88,57,0.01,0,0
7/16/11,16,88,58,0.01,0,0
7/17/11,17,91,62,0.01,0,0
7/18/11,18,92,61,0,0,0
7/19/11,19,92,62,0.02,0,0
7/20/11,20,91,61,0.02,0,0
7/21/11,21,89,57,0.01,0,0
7/22/11,22,92,57,0,0,0
7/23/11,23,94,59,0.01,0,0
7/24/11,24,92,60,0,0,0
7/25/11,25,94,60,0,0,0
7/26/11,26,88,64,0,0,0
7/27/11,27,89,60,0.01,0,0
7/28/11,28,88,57,0.08,0,0
7/29/11,29,90,57,0,0,0
7/30/11,30,95,57,0.01,0,0
7/31/11,31,96,60,0,0,0
8/1/11,1,94,62,0.38,0,0
8/2/11,2,86,62,0.03,0,0
8/3/11,3,87,60,0,0,0
8/4/11,4,84,60,0.01,0,0
8/5/11,5,92,55,0,0,0
8/6/11,6,96,60,0,0,0
8/7/11,7,96,55,0.01,0,0
8/8/11,8,94,60,0,0,0
8/9/11,9,95,53,0,0,0
8/10/11,10,93,60,0.01,0,0
8/11/11,11,93,52,0,0,0
8/12/11,12,92,60,0,0,0
8/13/11,13,85,53,0,0,0
8/14/11,14,84,58,0.07,0,0
8/15/11,15,91,62,0,0,0
8/16/11,16,88,60,0.25,0,0
8/17/11,17,90,53,0.01,0,0
8/18/11,18,97,60,0,0,0
8/19/11,19,94,62,0.09,0,0
8/20/11,20,86,53,0.15,0,0
8/21/11,21,90,57,0.01,0,0
8/22/11,22,94,57,0,0,0
8/23/11,23,98,62,0.03,0,0
8/24/11,24,91,61,0,0,0
8/25/11,25,96,57,0,0,0
8/26/11,26,92,64,0.01,0,0
8/27/11,27,94,59,0.01,0,0
8/28/11,28,94,65,0.01,0,0
8/29/11,29,87,57,0,0,0
8/30/11,30,92,58,0,0,0
8/31/11,31,96,60,0.06,0,0
9/1/11,1,94,63,0.03,0,0
9/2/11,2,84,55,0.01,0,0
9/3/11,3,77,52,0,0,0
9/4/11,4,76,42,0,0,0
9/5/11,5,87,45,0,0,0
9/6/11,6,84,57,0.03,0,0
9/7/11,7,66,52,1.02,0,0
9/8/11,8,75,48,0,0,0
9/9/11,9,77,47,0,0,0
9/10/11,10,77,45,0,0,0
9/11/11,11,81,45,0,0,0
9/12/11,12,80,55,0.01,0,0
9/13/11,13,78,52,0,0,0
9/14/11,14,74,50,0.04,0,0
9/15/11,15,56,48,1.4,0,0
9/16/11,16,74,41,0.01,0,0
9/17/11,17,74,51,0,0,0
9/18/11,18,76,43,0,0,0
9/19/11,19,80,43,0,0,0
9/20/11,20,76,44,0,0,0
9/21/11,21,65,39,0.01,0,0
9/22/11,22,75,37,0.03,0,0
9/23/11,23,82,46,0,0,0
9/24/11,24,84,53,0,0,0
9/25/11,25,85,55,0,0,0
9/26/11,26,88,53,0,0,0
9/27/11,27,82,50,0,0,0
9/28/11,28,89,54,0,0,0
9/29/11,29,69,50,0,0,0
9/30/11,30,80,39,0,0,0
10/1/11,1,86,48,0,0,0
10/2/11,2,82,50,0,0,0
10/3/11,3,80,50,0,0,0
10/4/11,4,82,49,0.01,0,0
10/5/11,5,76,46,0.01,0,0
10/6/11,6,75,46,0.01,0,0
10/7/11,7,65,34,0,0,0
10/8/11,8,52,36,0.23,0.01,0
10/9/11,9,55,33,0.01,0,0
10/10/11,10,67,33,0,0,0
10/11/11,11,69,45,0.01,0,0
10/12/11,12,69,40,0,0,0
10/13/11,13,77,37,0,0,0
10/14/11,14,67,35,0,0,0
10/15/11,15,84,42,0,0,0
10/16/11,16,74,37,0,0,0
10/17/11,17,58,42,0.01,0,0
10/18/11,18,61,33,0,0,0
10/19/11,19,63,29,0,0,0
10/20/11,20,73,35,0,0,0
10/21/11,21,73,39,0,0,0
10/22/11,22,70,41,0,0,0
10/23/11,23,76,39,0,0,0
10/24/11,24,80,43,0,0,0
10/25/11,25,71,41,0.06,0,0
10/26/11,26,42,27,1.35,11.5,10
10/27/11,27,45,14,0,0,5
10/28/11,28,49,23,0,0,3
10/29/11,29,59,32,0,0,1
10/30/11,30,63,29,0,0,0.01
10/31/11,31,73,35,0,0,0.01
11/1/11,1,59,37,0.01,0,0.01
11/2/11,2,40,22,0.94,8.6,7
11/3/11,3,47,15,0,0,4
11/4/11,4,60,24,0,0,2
11/5/11,5,53,34,0,0,0.01
11/6/11,6,48,26,0,0,0.01
11/7/11,7,44,27,0,0,0.01
11/8/11,8,45,24,0,0,0.01
11/9/11,9,46,20,0,0,0.01
11/10/11,10,63,25,0,0,0
11/11/11,11,61,37,0,0,0.01
11/12/11,12,60,41,0,0,0
11/13/11,13,57,36,0,0,0
11/14/11,14,56,36,0,0,0
11/15/11,15,54,40,0,0,0
11/16/11,16,46,15,0,0,0
11/17/11,17,59,21,0,0,0
11/18/11,18,67,41,0,0,0
11/19/11,19,52,26,0,0,0
11/20/11,20,44,20,0,0,0
11/21/11,21,52,25,0,0,0
11/22/11,22,58,32,0,0,0
11/23/11,23,68,42,0,0,0
11/24/11,24,69,39,0,0,0
11/25/11,25,56,42,0,0,0
11/26/11,26,42,22,0,0.01,0
11/27/11,27,60,21,0,0,0
11/28/11,28,62,40,0,0,0
11/29/11,29,56,27,0,0,0
11/30/11,30,64,34,0,0,0
12/1/11,1,48,20,0.57,7.6,8
12/2/11,2,45,8,0,0,6
12/3/11,3,30,20,0.28,8,10
12/4/11,4,31,8,0.03,0.8,8
12/5/11,5,21,1,0.06,1.4,7
12/6/11,6,35,-4,0,0,6
12/7/11,7,45,19,0,0,4
12/8/11,8,40,23,0,0,4
12/9/11,9,40,16,0,0,4
12/10/11,10,48,17,0,0,4
12/11/11,11,48,17,0,0,4
12/12/11,12,40,22,0,0,4
12/13/11,13,43,15,0,0,3
12/14/11,14,49,24,0,0,3
12/15/11,15,40,20,0,0,3
12/16/11,16,39,19,0,0,3
12/17/11,17,45,20,0,0,3
12/18/11,18,61,25,0,0,2
12/19/11,19,55,24,0.04,0.7,3
12/20/11,20,42,16,0.01,0.01,2
12/21/11,21,39,22,0.01,0.01,2
12/22/11,22,33,15,0.93,14.6,16
12/23/11,23,44,5,0,0,14
12/24/11,24,47,16,0,0,12
12/25/11,25,46,21,0,0,11
12/26/11,26,53,20,0,0,9
12/27/11,27,55,21,0,0,9
12/28/11,28,59,31,0,0,7
12/29/11,29,56,43,0,0,4
12/30/11,30,61,38,0,0,3
12/31/11,31,59,33,0.01,0.01,2
1/1/12,1,35,19,0,0,2
1/2/12,2,53,19,0,0,2
1/3/12,3,57,29,0,0,1
1/4/12,4,61,24,0,0,0.01
1/5/12,5,69,39,0,0,0.01
1/6/12,6,60,31,0,0,0.01
1/7/12,7,39,21,0.08,0.8,1
1/8/12,8,39,16,0.04,0.6,1
1/9/12,9,52,22,0,0,0.01
1/10/12,10,61,29,0,0,0.01
